TIME ms, IN1, IN2
-3.369, 0.013062, -2.629395
-3.418, 0.012573, -1.52832
-3.467, 0.012695, -0.08667
-3.516, 0.012695, 1.362305
-3.564, 0.012817, 2.678223
-3.613, 0.012573, 3.737793
-3.662, 0.012817, 4.443359
-3.711, 0.012573, 4.725342
-3.76, 0.013062, 4.553223
-3.809, 0.013062, 3.948975
-3.857, 0.013062, 2.967529
-3.906, 0.012817, 1.708984
-3.955, 0.012695, 0.279541
-4.004, 0.012817, -1.177979
-4.053, 0.012817, -2.528076
-4.102, 0.013062, -3.641357
-4.15, 0.012573, -4.4104
-4.199, 0.013184, -4.769287
-4.248, 0.013062, -4.676514
-4.297, 0.012573, -4.144287
-4.346, 0.012817, -3.225098
-4.395, 0.013184, -2.003174
-4.443, 0.013184, -0.59082
-4.492, 0.012695, 0.871582
-4.541, 0.012939, 2.248535
-4.59, 0.012939, 3.409424
-4.639, 0.012817, 4.245605
-4.688, 0.013062, 4.631348
-4.736, 0.012817, 4.698486
-4.785, 0.012451, 4.310303
-4.834, 0.012939, 3.514404
-4.883, 0.012695, 2.385254
-4.932, 0.012939, 1.022949
-4.98, 0.012939, -0.438232
-5.029, 0.012573, -1.860352
-5.078, 0.012573, -3.106689
-5.127, 0.012695, -4.064941
-5.176, 0.012573, -4.639893
-5.225, 0.012817, -4.780273
-5.273, 0.012939, -4.468994
-5.322, 0.012817, -3.740234
-5.371, 0.012695, -2.657471
-5.42, 0.012817, -1.329346
-5.469, 0.013184, 0.123291
-5.518, 0.013184, 1.560059
-5.566, 0.012817, 2.850342
-5.615, 0.012939, 3.861084
-5.664, 0.013062, 4.510498
-5.713, 0.013062, 4.724121
-5.762, 0.012939, 4.49585
-5.811, 0.012817, 3.833008
-5.859, 0.012817, 2.807617
-5.908, 0.012817, 1.739502
-5.957, 0.012817, 0.314941
-6.006, 0.012451, -1.14502
-6.055, 0.012817, -2.5
-6.104, 0.012573, -3.616943
-6.152, 0.012695, -4.398193
-6.201, 0.012695, -4.764404
-6.25, 0.012573, -4.683838
-6.299, 0.012695, -4.161377
-6.348, 0.012817, -3.248291
-6.396, 0.013062, -2.032471
-6.445, 0.012817, -0.625
-6.494, 0.013062, 0.836182
-6.543, 0.012573, 2.216797
-6.592, 0.012695, 3.38623
-6.641, 0.012817, 4.229736
-6.689, 0.012817, 4.672852
-6.738, 0.012817, 4.669189
-6.787, 0.012939, 4.223633
-6.836, 0.012573, 3.374023
-6.885, 0.012695, 2.202148
-6.934, 0.012695, 0.817871
-6.982, 0.012939, -0.645752
-7.031, 0.012817, -2.050781
-7.08, 0.012939, -3.266602
-7.129, 0.013062, -4.046631
-7.178, 0.012817, -4.630127
-7.227, 0.012695, -4.780273
-7.275, 0.012817, -4.477539
-7.324, 0.013184, -3.760986
-7.373, 0.013062, -2.685547
-7.422, 0.012695, -1.361084
-7.471, 0.012939, 0.089111
-7.52, 0.012695, 1.530762
-7.568, 0.012817, 2.822266
-7.617, 0.012573, 3.845215
-7.666, 0.013062, 4.498291
-7.715, 0.012695, 4.729004
-7.764, 0.012695, 4.505615
-7.813, 0.012939, 3.85376
-7.861, 0.013062, 2.835693
-7.91, 0.012817, 1.544189
-7.959, 0.012573, 0.10376
-8.008, 0.012573, -1.348877
-8.057, 0.012939, -2.677002
-8.105, 0.012817, -3.75
-8.154, 0.012573, -4.475098
-8.203, 0.012573, -4.779053
-8.252, 0.013062, -4.63623
-8.301, 0.012817, -4.052734
-8.35, 0.012939, -3.275146
-8.398, 0.012695, -2.062988
-8.447, 0.012817, -0.6604
-8.496, 0.012695, 0.803223
-8.545, 0.012939, 2.1875
-8.594, 0.012451, 3.361816
-8.643, 0.012817, 4.215088
-8.691, 0.012939, 4.665527
-8.74, 0.012817, 4.675293
-8.789, 0.012817, 4.238281
-8.838, 0.012817, 3.395996
-8.887, 0.012695, 2.231445
-8.936, 0.012817, 0.85083
-8.984, 0.012817, -0.611572
-9.033, 0.012695, -2.017822
-9.082, 0.012329, -3.236084
-9.131, 0.012817, -4.154053
-9.18, 0.012573, -4.680176
-9.229, 0.012451, -4.765625
-9.277, 0.012695, -4.404297
-9.326, 0.012817, -3.625488
-9.375, 0.012451, -2.508545
-9.424, 0.012329, -1.157227
-9.473, 0.012451, 0.300293
-9.521, 0.012573, 1.727295
-9.57, 0.012817, 2.987061
-9.619, 0.012695, 3.823242
-9.668, 0.012817, 4.487305
-9.717, 0.012817, 4.726562
-9.766, 0.012573, 4.512939
-9.814, 0.012695, 3.87207
-9.863, 0.012573, 2.860107
-9.912, 0.012817, 1.575928
-9.961, 0.012573, 0.137939
-10.01, 0.012329, -1.313477
-10.059, 0.012451, -2.647705
-10.107, 0.012695, -3.730469
-10.156, 0.012695, -4.462891
